file,original,gzip,rar,xz
test_data/urandom/urandom_10000000_055.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_056.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_057.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_058.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_059.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_1000000_005.bin,125000,125062,125218,125068
test_data/urandom/urandom_10000000_060.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_061.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_062.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_063.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_064.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_065.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_066.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_067.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_068.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_069.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_1000000_006.bin,125000,125062,125218,125068
test_data/urandom/urandom_10000000_070.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_071.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_072.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_073.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_074.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_075.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_076.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_077.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_078.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_079.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_1000000_007.bin,125000,125062,125218,125068
test_data/urandom/urandom_10000000_080.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_081.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_082.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_083.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_084.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_085.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_086.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_087.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_088.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_089.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_1000000_008.bin,125000,125062,125218,125068
test_data/urandom/urandom_10000000_090.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_091.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_092.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_093.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_094.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_095.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_096.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_097.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_098.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_10000000_099.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_1000000_009.bin,125000,125062,125218,125068
test_data/urandom/urandom_10000000_100.bin,1250000,1250238,1250228,1250120
test_data/urandom/urandom_1000000_010.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_011.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_012.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_013.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_014.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_015.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_016.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_017.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_018.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_019.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_001.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_020.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_021.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_022.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_023.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_024.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_025.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_026.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_027.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_028.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_029.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_002.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_030.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_031.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_032.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_033.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_034.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_035.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_036.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_037.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_038.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_039.bin,125000,125062,125218,125068
test_data/urandom/urandom_100000_003.bin,12500,12546,12714,12560
test_data/urandom/urandom_1000000_040.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_041.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_042.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_043.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_044.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_045.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_046.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_047.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_048.bin,125000,125062,125218,125068
test_data/urandom/urandom_1000000_049.bin,125000,125062,125218,125068
